Distance,Target_ID,Decoded_ID,Success,Confidence,Category_Label
1.0,17,17,1,0.9229385852813721,3
1.0,13,13,1,0.9139240980148315,3
1.0,27,27,1,0.9237657785415649,6
1.0,27,27,1,0.9228599071502686,6
1.0,0,0,1,0.9143776893615723,0
1.0,22,22,1,0.9104059934616089,5
1.0,20,20,1,0.9168110489845276,4
1.0,2,2,1,0.9127048850059509,0
1.0,20,20,1,0.9150146245956421,4
1.0,9,9,1,0.918676495552063,2
1.0,1,1,1,0.9063223004341125,0
1.0,16,16,1,0.9257452487945557,3
1.0,28,28,1,0.9197245836257935,6
1.0,19,19,1,0.9076967835426331,4
1.0,21,21,1,0.9205068945884705,5
1.0,7,7,1,0.9191115498542786,1
1.0,8,8,1,0.9117193222045898,2
1.0,22,22,1,0.9067404270172119,5
1.0,25,25,1,0.894669771194458,0
1.0,13,13,1,0.9141262173652649,3
1.0,13,13,1,0.9199152588844299,3
1.0,4,4,1,0.9264466762542725,1
1.0,9,9,1,0.9227403402328491,2
1.0,15,15,1,0.9143013954162598,3
1.0,21,21,1,0.9196860194206238,5
1.0,18,18,1,0.9209524393081665,4
1.0,22,22,1,0.9056630730628967,5
1.0,16,16,1,0.9307031035423279,3
1.0,7,7,1,0.9223638772964478,1
1.0,26,26,1,0.915393054485321,0
1.0,5,5,1,0.9080414772033691,1
1.0,10,10,1,0.9143408536911011,2
1.0,3,3,1,0.9199436902999878,0
1.0,8,8,1,0.9158327579498291,2
1.0,17,17,1,0.9247825145721436,3
1.0,27,27,1,0.9251505136489868,6
1.0,0,0,1,0.9222368001937866,0
1.0,12,12,1,0.915561318397522,3
1.0,22,22,1,0.9112828969955444,5
1.0,0,0,1,0.9252204298973083,0
1.0,23,23,1,0.9095595479011536,5
1.0,6,6,1,0.9278155565261841,1
1.0,14,14,1,0.92833411693573,3
1.0,13,13,1,0.9150389432907104,3
1.0,5,5,1,0.9106360077857971,1
1.0,19,19,1,0.9054881930351257,4
1.0,23,23,1,0.9050469994544983,5
1.0,26,26,1,0.9107615947723389,0
1.0,16,16,1,0.9245578050613403,3
1.0,19,19,1,0.8982030153274536,4
1.0,3,3,1,0.9259831309318542,0
1.0,5,5,1,0.9133276343345642,1
1.0,22,22,1,0.9094570875167847,5
1.0,15,15,1,0.913817822933197,3
1.0,8,8,1,0.9106757640838623,2
1.0,17,17,1,0.9207563996315002,3
1.0,13,13,1,0.9164402484893799,3
1.0,6,6,1,0.9244434833526611,1
1.0,12,12,1,0.914056658744812,3
1.0,27,27,1,0.9287534952163696,6
1.0,21,21,1,0.9282406568527222,5
1.0,2,2,1,0.915306806564331,0
1.0,27,27,1,0.9286624193191528,6
1.0,7,7,1,0.9151931405067444,1
1.0,14,14,1,0.9226300120353699,3
1.0,17,17,1,0.9238457679748535,3
1.0,26,26,1,0.9168877005577087,0
1.0,21,21,1,0.9216372966766357,5
1.0,26,26,1,0.915374755859375,0
1.0,29,29,1,0.9183744192123413,7
1.0,23,23,1,0.9068254828453064,5
1.0,2,2,1,0.9162779450416565,0
1.0,9,9,1,0.9166899919509888,2
1.0,20,20,1,0.9137206077575684,4
1.0,20,20,1,0.9146409034729004,4
1.0,12,12,1,0.9124690294265747,3
1.0,10,10,1,0.9091343879699707,2
1.0,3,3,1,0.9251642823219299,0
1.0,16,16,1,0.9265922904014587,3
1.0,8,8,1,0.9094971418380737,2
1.0,17,17,1,0.9168744683265686,3
1.0,18,18,1,0.9313938617706299,4
1.0,4,4,1,0.9191811680793762,1
1.0,15,15,1,0.919360876083374,3
1.0,9,9,1,0.9146859049797058,2
1.0,21,21,1,0.9205062389373779,5
1.0,11,11,1,0.9072960615158081,2
1.0,29,29,1,0.9168092012405396,7
1.0,4,4,1,0.9263812303543091,1
1.0,13,13,1,0.913397490978241,3
1.0,15,15,1,0.9202696084976196,3
1.0,11,11,1,0.9115250110626221,2
1.0,5,5,1,0.9079156517982483,1
1.0,1,1,1,0.897229015827179,0
1.0,23,23,1,0.9048596620559692,5
1.0,24,24,1,0.9201182126998901,0
1.0,12,12,1,0.9209445714950562,3
1.0,1,1,1,0.9016780853271484,0
1.0,6,6,1,0.9323228597640991,1
1.0,3,3,1,0.9200767278671265,0
1.1,9,9,1,0.8906576037406921,2
1.1,16,16,1,0.898639440536499,3
1.1,21,21,1,0.8807224035263062,5
1.1,9,9,1,0.893369734287262,2
1.1,22,22,1,0.8717953562736511,5
1.1,9,9,1,0.8838512301445007,2
1.1,6,6,1,0.8941764235496521,1
1.1,24,24,1,0.887726902961731,0
1.1,14,14,1,0.8819313049316406,3
1.1,2,2,1,0.8875148892402649,0
1.1,8,8,1,0.8685988187789917,2
1.1,4,4,1,0.8797206282615662,1
1.1,10,10,1,0.8790051341056824,2
1.1,7,7,1,0.8860312104225159,1
1.1,2,2,1,0.8867502808570862,0
1.1,11,11,1,0.8708829879760742,2
1.1,27,27,1,0.8993578553199768,6
1.1,0,0,1,0.8802225589752197,0
1.1,19,19,1,0.8640310168266296,4
1.1,26,26,1,0.8790305852890015,0
1.1,23,23,1,0.8636531829833984,5
1.1,10,10,1,0.8911603689193726,2
1.1,6,6,1,0.9055357575416565,1
1.1,27,27,1,0.8978404402732849,6
1.1,4,4,1,0.8899011611938477,1
1.1,25,25,1,0.8632503151893616,0
1.1,3,3,1,0.9005887508392334,0
1.1,11,11,1,0.8678358793258667,2
1.1,18,18,1,0.8968955874443054,4
1.1,27,27,1,0.8896855115890503,6
1.1,29,29,1,0.8809537887573242,7
1.1,29,29,1,0.8877344131469727,7
1.1,12,12,1,0.8831210136413574,3
1.1,20,20,1,0.8961818218231201,4
1.1,12,12,1,0.8907071948051453,3
1.1,5,5,1,0.8820489645004272,1
1.1,2,2,1,0.8876215815544128,0
1.1,5,5,1,0.8887495994567871,1
1.1,4,4,1,0.8816472887992859,1
1.1,28,28,1,0.8908360004425049,6
1.1,1,1,1,0.867958664894104,0
1.1,18,18,1,0.8895435333251953,4
1.1,24,24,1,0.883280336856842,0
1.1,29,29,1,0.8854206800460815,7
1.1,21,21,1,0.8834412097930908,5
1.1,18,18,1,0.8948667645454407,4
1.1,15,15,1,0.8913934230804443,3
1.1,16,16,1,0.8972973227500916,3
1.1,26,26,1,0.8860465288162231,0
1.1,11,11,1,0.8654821515083313,2
1.1,2,2,1,0.8826534748077393,0
1.1,9,9,1,0.8921522498130798,2
1.1,27,27,1,0.8921326994895935,6
1.1,8,8,1,0.8817219138145447,2
1.1,11,11,1,0.8624952435493469,2
1.1,16,16,1,0.8938418030738831,3
1.1,11,11,1,0.8886102437973022,2
1.1,18,18,1,0.8930121064186096,4
1.1,10,10,1,0.884899914264679,2
1.1,21,21,1,0.8954581022262573,5
1.1,5,5,1,0.8837913870811462,1
1.1,0,0,1,0.8930291533470154,0
1.1,18,18,1,0.9044322967529297,4
1.1,11,11,1,0.8845651745796204,2
1.1,28,28,1,0.8863368034362793,6
1.1,1,1,1,0.878268837928772,0
1.1,7,7,1,0.8890401124954224,1
1.1,13,13,1,0.878492534160614,3
1.1,6,6,1,0.8994306325912476,1
1.1,15,15,1,0.8895326852798462,3
1.1,8,8,1,0.8740760087966919,2
1.1,6,6,1,0.9034772515296936,1
1.1,26,26,1,0.8796871900558472,0
1.1,16,16,1,0.8929527401924133,3
1.1,18,18,1,0.9068625569343567,4
1.1,12,12,1,0.8807938694953918,3
1.1,24,24,1,0.8919594883918762,0
1.1,15,15,1,0.8889868855476379,3
1.1,16,16,1,0.9063456654548645,3
1.1,28,28,1,0.8904666304588318,6
1.1,9,9,1,0.888227105140686,2
1.1,11,11,1,0.8797135949134827,2
1.1,19,19,1,0.8648173213005066,4
1.1,11,11,1,0.8706161379814148,2
1.1,26,26,1,0.8970287442207336,0
1.1,9,9,1,0.8782520890235901,2
1.1,14,14,1,0.8944666385650635,3
1.1,19,19,1,0.8775523900985718,4
1.1,2,2,1,0.8882086277008057,0
1.1,18,18,1,0.8912798166275024,4
1.1,4,4,1,0.8909681439399719,1
1.1,16,16,1,0.9001898169517517,3
1.1,4,4,1,0.8915424346923828,1
1.1,2,2,1,0.8802986145019531,0
1.1,7,7,1,0.8991015553474426,1
1.1,4,4,1,0.8914915323257446,1
1.1,0,0,1,0.8797861933708191,0
1.1,26,26,1,0.8741725087165833,0
1.1,6,6,1,0.9043850302696228,1
1.1,16,16,1,0.892821192741394,3
1.2000000000000002,6,6,1,0.8696622252464294,1
1.2000000000000002,5,5,1,0.8402920365333557,1
1.2000000000000002,21,21,1,0.8595677614212036,5
1.2000000000000002,21,21,1,0.8423426747322083,5
